Variety,GB Grade,Area (hectare),County,Producer
CALEDONIAN PEARL,PB,0.01,Perth,Caledonia Potatoes Ltd
CARA,SE,7.4,Angus,IPM Potato Group Ltd
STEMSTER,PB,0.05,Perth,Caledonia Potatoes Ltd
CALEDONIAN PHOENIX,PB,0.03,Perth,Caledonia Potatoes Ltd
CARA,SE,9.5,Kincardine,Clarence Murray (P G & F) Ltd
ROYAL,S,5.9,Angus,McCain Potatoes
CARA,SE,5.1,Kincardine,Clarence Murray (P G & F) Ltd
JESTER,SE,4.6,Kincardine,Greenvale AP
DESIREE,E,3.1,Kincardine,Clarence Murray (P G & F) Ltd
DESIREE,E,5.8,Kincardine,Clarence Murray (P G & F) Ltd
DESIREE,SE,6,Kincardine,Clarence Murray (P G & F) Ltd
ATLANTIC,S,3.8,Kincardine,Grampian Growers
ATLANTIC,S,1.2,Kincardine,Grampian Growers
MARKIES,E,3,Kincardine,Agrico UK Ltd
SLANEY,S,0.7,Angus,IPM Potato Group Ltd
KESTREL,PB,0.01,Perth,Caledonia Potatoes Ltd
MARKIES,S,0.9,Kincardine,Agrico UK Ltd
CALEDONIAN ROSE,PB,0.01,Perth,Caledonia Potatoes Ltd
MARKIES,E,2.1,Kincardine,Agrico UK Ltd
OSPREY,PB,0.03,Perth,Caledonia Potatoes Ltd
MARKIES,S,5.9,Kincardine,Agrico UK Ltd
HARMONY,PB,0.03,Perth,Caledonia Potatoes Ltd
ARSENAL,S,0.6,Kincardine,Agrico UK Ltd
MARVEL,PB,0.1,Perth,Caledonia Potatoes Ltd
SLANEY,SE,4.4,Angus,IPM Potato Group Ltd
HERMES,PB,0.1,Perth,Grampian Growers
SAGITTA,S,1.7,Kincardine,HZPC UK Limited
CARA,PB,0.01,Perth,Grampian Growers
SAGITTA,S,3.2,Kincardine,HZPC UK Limited
CAESAR,S,2.5,Kincardine,HZPC UK Limited
PREMIERE,PB,0.02,Perth,J & E Smillie (Growers) Ltd
DAISY,S,4.7,Aberdeen,McCain Potatoes
INTERNATIONAL KIDNEY,PB,0.02,Perth,J & E Smillie (Growers) Ltd
LA VIE,PB,0.05,Perth,Albert Bartlett & Sons (Airdrie) Ltd
DESIREE,S,1.2,Kincardine,Clarence Murray (P G & F) Ltd
TYSON,S,0.7,Kincardine,Stet for Greenvale AP
TYSON,S,0.8,Kincardine,Stet for Greenvale AP
LANORMA,PB,0.12,Perth,Branston Ltd
CARA,SE,5.8,Kincardine,Clarence Murray (P G & F) Ltd
DAISY,S,5.4,Aberdeen,McCain Potatoes
GEMSON,SE,3.8,Kincardine,Grampian Growers
IVORY RUSSET,S,2.2,Kincardine,HZPC UK Limited
LAURA,PB,0.17,Perth,Branston Ltd
7 FOUR 7,PB,0.1,Perth,Solana Seeds United Kingdom Ltd
DAISY,S,4.2,Aberdeen,McCain Potatoes
CARUSO,PB,0.12,Perth,Solana Seeds United Kingdom Ltd
EDISON,PB,0.14,Perth,Solana Seeds United Kingdom Ltd
OPAL,PB,0.25,Perth,Solana Seeds United Kingdom Ltd
MARIS PIPER,S,2.8,Fife,Messrs Alex Brewster
MARIS PIPER,S,6,Fife,Messrs Alex Brewster
MARIS PIPER,S,1,Fife,Messrs Alex Brewster
NIETA,S,0.3,Angus,Bennett Seed Exports Ltd
NIETA,S,3.6,Angus,Bennett Seed Exports Ltd
CARA,S,0.9,Fife,James Mason (Farms)
NIETA,S,0.8,Angus,Bennett Seed Exports Ltd
VENEZIA,S,1.6,Kincardine,Greenvale AP
VENEZIA,S,5.2,Kincardine,Greenvale AP
MARIS PIPER,SE,4.4,Kincardine,R R Brown & Sons
NIETA,S,2,Angus,Bennett Seed Exports Ltd
CHARLOTTE,S,2.8,Angus,E M Kerr & Son
NIETA,S,1.7,Angus,Bennett Seed Exports Ltd
DESIREE,S,1.3,Kincardine,R R Brown & Sons
CARA,S,1.3,Kincardine,R R Brown & Sons
INTERNATIONAL KIDNEY,S,2.4,Kincardine,Greenvale AP
CHARLOTTE,S,5.6,Angus,E M Kerr & Son
MARIS PIPER,S,1.4,Kincardine,R R Brown & Sons
CHALLENGER,S,1.2,Kincardine,HZPC UK Limited
ESTIMA,S,0.8,Kincardine,R R Brown & Sons
WILJA,SE,5.9,Angus,S E Wilja Growers
TYSON,SE,1.1,Kincardine,Stet for Greenvale AP
ARSENAL,S,0.4,Kincardine,Agrico UK Ltd
ATLANTIC,S,1,Kincardine,R R Brown & Sons
SAGITTA,S,0.8,Kincardine,HZPC UK Limited
HERMES,S,1.4,Kincardine,R R Brown & Sons
WILJA,S,1,Angus,S E Wilja Growers
ESTIMA,SE,3.6,Kincardine,R R Brown & Sons
PIPPA,S,1,Kincardine,Strathmore Potatoes Ltd
ARSENAL,S,2.3,Kincardine,Agrico UK Ltd
CARA,S,4.5,Kincardine,R R Brown & Sons
SAGITTA,S,0.2,Kincardine,HZPC UK Limited
CARA,SE,8.1,Kincardine,R R Brown & Sons
CHALLENGER,S,1.3,Kincardine,HZPC UK Limited
IVORY RUSSET,S,0.2,Kincardine,HZPC UK Limited
TYSON,SE,1,Kincardine,Stet for Greenvale AP
MARIS BARD,SE,0.9,Kincardine,Clarence Murray (P G & F) Ltd
WILJA,S,5.1,Angus,Jaytee Farms Limited
DESIREE,S,8.9,Kincardine,R R Brown & Sons
ATLANTIC,S,3.7,Angus,Alan Twatt (Potato Merchants) Ltd
MARFONA,S,2,Kincardine,Clarence Murray (P G & F) Ltd
DESIREE,SE,2.6,Kincardine,R R Brown & Sons
MARFONA,S,1.5,Kincardine,Clarence Murray (P G & F) Ltd
MARKIES,S,2.4,Angus,Agrico UK Ltd
MARKIES,SE,18.8,Angus,Agrico UK Ltd
DAISY,S,1.2,Aberdeen,McCain Potatoes
DESIREE,S,0.8,Kincardine,Clarence Murray (P G & F) Ltd
CARA,SE,3.3,Kincardine,R R Brown & Sons
HERMES,SE,1.2,Kincardine,R R Brown & Sons
MARKIES,E,2.7,Angus,Agrico UK Ltd
CARA,SE,2.8,Fife,James Mason (Farms)
CARA,SE,5.9,Fife,James Mason (Farms)
CARA,SE,1.4,Fife,James Mason (Farms)
MARIS BARD,PB,0.02,Perth,J & E Smillie (Growers) Ltd
CARA,S,0.1,Perth,J & E Smillie (Growers) Ltd
CALEDONIAN PEARL,SE,0.1,Perth,Caledonia Potatoes Ltd
KESTREL,SE,0.1,Perth,Caledonia Potatoes Ltd
SWIFT,SE,0.1,Perth,Caledonia Potatoes Ltd
STEMSTER,SE,0.1,Perth,Caledonia Potatoes Ltd
BUTE,SE,0.1,Perth,Caledonia Potatoes Ltd
OSPREY,S,0.2,Perth,Caledonia Potatoes Ltd
VALOR,S,0.2,Perth,Caledonia Potatoes Ltd
CALEDONIAN PHOENIX,SE,0.1,Perth,Caledonia Potatoes Ltd
HARMONY,S,0.1,Perth,Caledonia Potatoes Ltd
LOMOND,S,0.2,Perth,Cullen Allen Ltd
INTERNATIONAL KIDNEY,S,0.2,Perth,J & E Smillie (Growers) Ltd
HERMES,S,0.4,Perth,J & E Smillie (Growers) Ltd
LANORMA,S,0.4,Perth,Branston Ltd
LAURA,S,0.3,Perth,Branston Ltd
LA VIE,S,0.3,Perth,Albert Bartlett & Sons (Airdrie) Ltd
MARIS BARD,S,0.3,Perth,J & E Smillie (Growers) Ltd
PREMIERE,S,0.3,Perth,J & E Smillie (Growers) Ltd
CALEDONIAN PHOENIX,S,0.1,Perth,Caledonia Potatoes Ltd
KESTREL,S,0.3,Perth,Caledonia Potatoes Ltd
CALEDONIAN PEARL,S,0.2,Perth,Caledonia Potatoes Ltd
INTERNATIONAL KIDNEY,S,0.5,Perth,J & E Smillie (Growers) Ltd
OSPREY,S,0.7,Perth,Caledonia Potatoes Ltd
VALOR,SE,0.5,Perth,Caledonia Potatoes Ltd
TYSON,SE,1,Perth,Greenvale AP
MARIS PIPER,SE,3,Kincardine,R R Brown & Sons
INNOVATOR,S,3.9,Angus,McCain Potatoes
MARIS PIPER,SE,0.8,Angus,Hume Farming Ltd
DAISY,PB,0.29,Ross,McCain Potatoes
DESIREE,S,3.8,Kincardine,J L Stewart Ltd
CARA,S,0.6,Kincardine,J L Stewart Ltd
HERMES,S,0.9,Kincardine,J L Stewart Ltd
BARNA,S,0.7,Angus,IPM Potato Group Ltd
CARA,S,2.2,Kincardine,J L Stewart Ltd
BARNA,SE,3.1,Angus,IPM Potato Group Ltd
HERMES,S,2.3,Kincardine,J L Stewart Ltd
HERMES,S,8.3,Kincardine,J L Stewart Ltd
CARA,SE,3.8,Angus,IPM Potato Group Ltd
CARA,SE,4,Angus,IPM Potato Group Ltd
HERMES,S,2.8,Kincardine,J L Stewart Ltd
CARA,S,1.4,Angus,IPM Potato Group Ltd
ROOSTER,S,0.9,Angus,IPM Potato Group Ltd
GEMSON,PB,3,Ross,Grampian Growers
ROOSTER,SE,4,Angus,IPM Potato Group Ltd
MARIS PEER,PB,2.66,Ross,A & P Grewar (Black Isle)
BANBA,SE,5.2,Angus,IPM Potato Group Ltd
BARNA,SE,1.7,Angus,IPM Potato Group Ltd
BANBA,S,0.8,Angus,IPM Potato Group Ltd
KINGSMAN,S,0.7,Moray,Cygnet Potato Breeders Ltd
KINGSMAN,S,3.9,Moray,Cygnet Potato Breeders Ltd
KINGSMAN,S,4.3,Moray,Cygnet Potato Breeders Ltd
OLYMPUS,S,6.9,Kincardine,Cygnet Potato Breeders Ltd
ATLANTIC,S,6.6,Kincardine,Grampian Growers
CARUSO,S,3.1,Angus,Solana Seeds United Kingdom Ltd
BABY LOU,S,1.3,Angus,Solana Seeds United Kingdom Ltd
HERMES,PB,1.9,Ross,Wolds Produce Ltd
DESIREE,PB,3,Ross,Grampian Growers
ALEXANDRA,PB,2.43,Ross,Albert Bartlett & Sons (Airdrie) Ltd
ELECTRA,PB,1.54,Ross,IPM Potato Group Ltd
NECTAR,PB,1.91,Ross,IPM Potato Group Ltd
KING EDWARD,PB,2.48,Ross,A & P Grewar (Black Isle)
KING EDWARD,S,1,Ross,A & P Grewar (Black Isle)
PICASSO,S,2.2,Kincardine,Agrico UK Ltd
MARIS PIPER,PB,6,Ross,A & P Grewar (Black Isle)
MARKIES,SE,1.6,Kincardine,Agrico UK Ltd
ELECTRA,SE,0.6,Angus,IPM Potato Group Ltd
SENSATION,S,1,Angus,IPM Potato Group Ltd
NECTAR,S,0.3,Angus,IPM Potato Group Ltd
TORNADO,S,0.7,Angus,IPM Potato Group Ltd
BUSTER,S,1.8,Angus,IPM Potato Group Ltd
JAVA,S,1,Angus,IPM Potato Group Ltd
CABARET,S,1,Angus,Cygnet Potato Breeders Ltd
MARKIES,S,2.2,Angus,Agrico UK Ltd
MARKIES,SE,3.2,Angus,Agrico UK Ltd
INNOVATOR,S,2.4,Angus,McCain Potatoes
MARKIES,S,12,Angus,Agrico UK Ltd
SHEPODY,S,8.5,Angus,McCain Potatoes
INNOVATOR,S,3.1,Angus,McCain Potatoes
MARKIES,SE,2.8,Angus,Agrico UK Ltd
GEMSON,S,0.7,Angus,Grampian Growers
GEMSON,SE,2.1,Angus,Grampian Growers
GEMSON,SE,1.2,Angus,Grampian Growers
RUSSET BURBANK,S,4.9,Angus,McCain Potatoes
ELLAND,S,1.4,Angus,Cygnet Potato Breeders Ltd
ARSENAL,S,0.1,Perth,Agrico UK Ltd
INNOVATOR,S,2.5,Angus,McCain Potatoes
CONSTANCE,S,0.1,Perth,Agrico UK Ltd
ARSENAL,S,0.1,Midlothian,Agrico UK Ltd
CONSTANCE,S,0.1,Midlothian,Agrico UK Ltd
ROYAL,S,9.8,Angus,McCain Potatoes
ARSENAL,S,0.1,Berwick,Agrico UK Ltd
CONSTANCE,S,0.1,Berwick,Agrico UK Ltd
DESIREE,SE,4.1,Angus,Usan Potatoes Ltd
DESIREE,SE,0.5,Angus,Usan Potatoes Ltd
DESIREE,SE,1,Angus,Usan Potatoes Ltd
DESIREE,S,1.4,Angus,Usan Potatoes Ltd
CARA,S,4,Angus,Usan Potatoes Ltd
DESIREE,S,9,Angus,Usan Potatoes Ltd
CARA,SE,3.1,Banff,Melrose Farms
CARA,S,4,Aberdeen,W Bremner & Son
HERMES,E,0.6,Aberdeen,W Bremner & Son
HERMES,S,1.5,Aberdeen,W Bremner & Son
HERMES,E,5.2,Aberdeen,W Bremner & Son
SAXON,S,1,Moray,Cygnet Potato Breeders Ltd
SAXON,S,2,Moray,Cygnet Potato Breeders Ltd
SAXON,S,2.3,Moray,Cygnet Potato Breeders Ltd
SAXON,S,2.5,Moray,Cygnet Potato Breeders Ltd
SAXON,S,1.4,Moray,Cygnet Potato Breeders Ltd
EPICURE,E,1,Midlothian,Denholm Potato Growers
MARIS BARD,S,0.7,Midlothian,Denholm Potato Growers
CHARLOTTE,SE,1.1,Midlothian,Denholm Potato Growers
MARIS PIPER,SE,0.4,Midlothian,Denholm Potato Growers
MARIS PIPER,S,7,Midlothian,Denholm Potato Growers
MARIS PIPER,SE,0.8,Midlothian,Denholm Potato Growers
HERMES,SE,4.6,Kincardine,Firm of A M & A J Jacobsen
HERMES,S,1.4,Banff,Melrose Farms
ATLANTIC,S,1,Banff,Cygnet PEP Ltd
ATLANTIC,S,7,Banff,Cygnet PEP Ltd
NECTAR,SE,2.6,Angus,IPM Potato Group Ltd
NECTAR,SE,4.8,Banff,IPM Potato Group Ltd
MARIS PIPER,SE,4.1,Kincardine,Firm of A M & A J Jacobsen
NECTAR,S,0.8,Banff,IPM Potato Group Ltd
MARIS PIPER,S,2.9,Kincardine,Firm of A M & A J Jacobsen
BURREN,S,0.8,Banff,IPM Potato Group Ltd
BURREN,SE,6,Banff,IPM Potato Group Ltd
CARA,S,6.8,Kincardine,Firm of A M & A J Jacobsen
CARA,SE,3.2,Kincardine,Firm of A M & A J Jacobsen
WILJA,S,0.9,Kincardine,Firm of A M & A J Jacobsen
MARIS PIPER,S,1.7,Kincardine,Firm of A M & A J Jacobsen
HERMES,S,1.3,Kincardine,Firm of A M & A J Jacobsen
HERMES,SE,0.7,Kincardine,Firm of A M & A J Jacobsen
ROYAL,S,5.1,Kincardine,McCain Potatoes
DAISY,S,6.6,Kincardine,McCain Potatoes
MIRANDA,S,3.3,Kincardine,Solana Seeds United Kingdom Ltd
MIRANDA,S,0.6,Kincardine,Solana Seeds United Kingdom Ltd
CARUSO,S,0.6,Kincardine,Solana Seeds United Kingdom Ltd
BANBA,SE,1.1,Fife,IPM Potato Group Ltd
NECTAR,S,1.2,Fife,IPM Potato Group Ltd
NECTAR,SE,5.8,Fife,IPM Potato Group Ltd
NECTAR,SE,2.6,Fife,IPM Potato Group Ltd
BANBA,SE,6.1,Fife,IPM Potato Group Ltd
BANBA,SE,2.7,Fife,IPM Potato Group Ltd
BANBA,SE,1.7,Fife,IPM Potato Group Ltd
MANITOU,S,1.1,Fife,Agrico UK Ltd
MANITOU,SE,5.1,Fife,Agrico UK Ltd
MARFONA,SE,2.7,Fife,Agrico UK Ltd
SUNLIGHT,S,0.4,Angus,IPM Potato Group Ltd
LANORMA,S,3,Moray,Branston Ltd
BROOKE,S,5.2,Banff,Saltire Seed Ltd
LANORMA,S,2.6,Moray,Branston Ltd
VR 808,S,0.2,Banff,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,0.3,Banff,Stet Potato Ltd for Saltire Seed Ltd
LANORMA,S,0.4,Moray,Branston Ltd
VR 808,SE,0.6,Banff,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,5,Banff,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,5.5,Banff,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,2.5,Banff,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,1.3,Banff,Stet Potato Ltd for Saltire Seed Ltd
VR 808,SE,0.7,Banff,Stet Potato Ltd for Saltire Seed Ltd
BROOKE,S,3.6,Banff,Saltire Seed Ltd
VR 808,S,4.5,Banff,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,0.3,Banff,Stet Potato Ltd for Saltire Seed Ltd
BROOKE,S,3.2,Banff,Saltire Seed Ltd
BROOKE,S,6,Banff,Saltire Seed Ltd
BROOKE,S,8,Banff,Saltire Seed Ltd
BROOKE,S,7.1,Aberdeen,Saltire Seed Ltd
KERR'S PINK,S,0.7,Moray,J Rhind & Co
MARIS PIPER,S,1,Moray,J Rhind & Co
CARA,SE,3.8,Aberdeen,Cairngall Farms
CARA,SE,2,Aberdeen,Cairngall Farms
DUKE OF YORK,S,0.2,Moray,J Rhind & Co
WILJA,SE,0.9,Angus,S E Wilja Growers
HERMES,SE,1,Aberdeen,MZ Valley Ltd
ROOSTER,SE,2.3,Moray,IPM Potato Group Ltd
CARA,E,4.5,Aberdeen,Cairngall Farms
CARA,S,4.5,Aberdeen,Cairngall Farms
CAROUSEL,S,1.6,Perth,Greenvale AP
HERMES,SE,2.8,Aberdeen,Cairngall Farms
MONTE CARLO,PB,0.017,Perth,Mercian Limited
HERMES,SE,1.5,Aberdeen,Cairngall Farms
INNOVATOR,SE,7,Kincardine,McCain Potatoes
HERMES,SE,4,Aberdeen,Cairngall Farms
INNOVATOR,SE,4,Kincardine,McCain Potatoes
HERMES,SE,1,Aberdeen,Cairngall Farms
ROYAL,S,3,Kincardine,McCain Potatoes
ROYAL,S,5.9,Moray,McCain Potatoes
KING RUSSET,S,1.9,Moray,McCain Potatoes
INNOVATOR,S,5.2,Moray,McCain Potatoes
INNOVATOR,S,0.9,Moray,McCain Potatoes
HERMES,SE,6.8,Aberdeen,Cairngall Farms
ELLAND,PB,0.1,Perth,Cygnet Potato Breeders Ltd
SKYWALKER,PB,0.08,Perth,Cygnet Potato Breeders Ltd
FRANCIS,PB,0.02,Perth,Cygnet Potato Breeders Ltd
EPICURE,PB,0.02,Perth,Cygnet Potato Breeders Ltd
ROCKET,PB,0.08,Perth,Cygnet Potato Breeders Ltd
LADY ALICIA,S,0.6,Banff,Meijer Potato UK
HERMES,S,6.7,Aberdeen,Cairngall Farms
BAMBINO,PB,0.05,Perth,Cygnet Potato Breeders Ltd
POSEIDON,PB,0.01,Perth,Cygnet Potato Breeders Ltd
MONTIS,PB,0.01,Perth,Cygnet Potato Breeders Ltd
AUSTIN,PB,0.01,Perth,Cygnet Potato Breeders Ltd
OLYMPUS,PB,0.3,Perth,Cygnet Potato Breeders Ltd
KINGSMAN,PB,0.5,Perth,Cygnet Potato Breeders Ltd
MARIS PEER,S,1.2,Kincardine,Firm of A M & A J Jacobsen
MARFONA,S,4,Aberdeen,Cairngall Farms
MARFONA,S,0.6,Aberdeen,Cairngall Farms
ATLANTIC,S,5.3,Kincardine,Firm of A M & A J Jacobsen
LANORMA,S,1,Moray,Branston Ltd
DUKE OF YORK,S,1.4,Banff,A G Norrie & Sons
ATLANTIC,S,5.8,Moray,Gray Farms Ltd
RED DUKE OF YORK,S,1.1,Banff,A G Norrie & Sons
CARA,E,5,Aberdeen,Cairngall Farms
RED DUKE OF YORK,S,0.6,Banff,A G Norrie & Sons
SPUNTA,S,1.6,Moray,Gray Farms Ltd
HERMES,S,7.5,Banff,Saltire Seed Ltd
BROOKE,S,4.8,Banff,Saltire Seed Ltd
BROOKE,S,1.1,Banff,Saltire Seed Ltd
HERMES,S,5.2,Aberdeen,Cairngall Farms
LADY BALFOUR,SE,5.4,Aberdeen,Greenvale AP
RAMOS,S,1.3,Fife,Stet Potato Ltd for Wolds Produce Ltd
BROOKE,S,0.2,Banff,Saltire Seed Ltd
HERMES,S,4.5,Moray,Gray Farms Ltd
BROOKE,S,0.1,Banff,Saltire Seed Ltd
CARA,E,3,Aberdeen,Cairngall Farms
ATLANTIC,SE,8,Banff,Gray Farms Ltd
RAMOS,SE,5.4,Fife,Stet Potato Ltd for Wolds Produce Ltd
HERMES,S,6.2,Aberdeen,Cairngall Farms
BROOKE,S,4.2,Aberdeen,Saltire Seed Ltd
DESIREE,S,4.5,Aberdeen,Melrose Farms
MELODY,S,3.2,Banff,Meijer Potato UK
MARFONA,S,3.2,Aberdeen,Cairngall Farms
HERMES,S,4.5,Aberdeen,Melrose Farms
SPUNTA,S,3,Banff,Gray Farms Ltd
MELODY,S,2.9,Banff,Meijer Potato UK
HERMES,S,1.9,Banff,Gray Farms Ltd
ADIB,S,2.2,Banff,Cullen Allen Ltd
BARAKA,S,3.5,Banff,Gray Farms Ltd
VENEZIA,S,1,Banff,Greenvale AP
ATLANTIC,SE,1.1,Banff,Gray Farms Ltd
SPUNTA,S,0.4,Banff,Cygnet PEP Ltd
SPUNTA,S,1.5,Banff,Cygnet PEP Ltd
LA STRADA,S,2.1,Banff,Gray Farms Ltd
MARIS BARD,S,2.7,Aberdeen,Cairngall Farms
VR 808,S,7.5,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
MARKIES,PB,0.021,Ross,Agrico UK Ltd
MARFONA,S,0.6,Aberdeen,Cairngall Farms
VR 808,S,1,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
LADY ROSETTA,S,4.5,Banff,Meijer Potato UK
KERR'S PINK,PB,0.011,Ross,Messrs W O Gordon Bindal & Co
LADY ROSETTA,S,8.1,Aberdeen,Meijer Potato UK
ATLANTIC,SE,4.8,Banff,Gray Farms Ltd
KING EDWARD,PB,0.008,Ross,Messrs W O Gordon Bindal & Co
DESIREE,S,1,Banff,Melrose Farms
DESIREE,SE,5,Banff,Gray Farms Ltd
KINGSMAN,S,1.8,Fife,Cygnet Potato Breeders Ltd
KINGSMAN,S,2.4,Fife,Cygnet Potato Breeders Ltd
KENNEBEC,S,4,Banff,Gray Farms Ltd
EUROSTAR,PB,0.037,Ross,Stet Potato Ltd
LADY ROSETTA,S,1.5,Banff,Meijer Potato UK
VR 808,PB,1.2,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
BANBA,SE,3.5,Banff,IPM Potato Group Ltd
VR 808,PB,0.7,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
SH C 909,PB,0.45,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
HERMES,PB,0.5,Aberdeen,Saltire Seed Ltd
BANBA,S,0.8,Banff,IPM Potato Group Ltd
HERMES,SE,1.5,Aberdeen,Cairngall Farms
PICASSO,PB,0.2,Aberdeen,Agrico UK Ltd
ACCORD,PB,0.064,Ross,Meijer Potato UK
CABARET,PB,0.53,Aberdeen,Cygnet Potato Breeders Ltd
OPAL,PB,0.1,Aberdeen,Solana Seeds United Kingdom Ltd
DUKE OF YORK,PB,0.1,Aberdeen,A G Norrie & Sons
ADIB,PB,0.1,Aberdeen,Cullen Allen Ltd
MARIS PEER,PB,0.1,Aberdeen,A G Norrie & Sons
BALTIC ROSE,PB,0.1,Aberdeen,Cullen Allen Ltd
ALEGRIA,PB,0.1,Aberdeen,Cullen Allen Ltd
HERMES,S,2.5,Banff,Melrose Farms
RED DUKE OF YORK,PB,0.1,Aberdeen,A G Norrie & Sons
SHARPE'S EXPRESS,PB,0.1,Aberdeen,A G Norrie & Sons
DESIREE,PB,0.2,Aberdeen,A G Norrie & Sons
ADIB,SE,1.5,Banff,Cullen Allen Ltd
CARA,S,2.7,Aberdeen,A T Wilson & Co
ELLAND,S,3.8,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,S,2.4,Angus,Cygnet Potato Breeders Ltd
LA STRADA,S,2,Banff,Gray Farms Ltd
KINGSMAN,S,2.5,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,S,1,Angus,Cygnet Potato Breeders Ltd
PIROL,PB,0.2,Aberdeen,Saltire Seed Ltd
SPUNTA,S,2,Banff,Gray Farms Ltd
GEMSON,PB,0.3,Aberdeen,Grampian Growers
NIETA,PB,0.1,Aberdeen,Bennett Seed Exports Ltd
SPUNTA,S,1.3,Banff,Gray Farms Ltd
MARIS PIPER,PB,0.2,Aberdeen,A G Norrie & Sons
CULTRA,PB,0.1,Aberdeen,Cullen Allen Ltd
PENTLAND DELL,PB,0.2,Aberdeen,A G Norrie & Sons
HERMES,S,5.5,Banff,Gray Farms Ltd
PENTLAND DELL,SE,0.3,Aberdeen,McCain Potatoes
CARA,S,2.3,Aberdeen,Cullen Allen Ltd
BARAKA,S,3.3,Banff,Gray Farms Ltd
FANDANGO,PB,0.4,Aberdeen,IPM Potato Group Ltd
SORAYA,PB,0.2,Aberdeen,Cullen Allen Ltd
DESIREE,S,1.9,Banff,Melrose Farms
CARA,S,2.5,Aberdeen,A T Wilson & Co
OPAL,PB,0.2,Aberdeen,Solana Seeds United Kingdom Ltd
DESIREE,SE,5,Banff,Gray Farms Ltd
CARA,PB,0.8,Aberdeen,Strathmore Potatoes Ltd
HERMES,S,4.5,Banff,Gray Farms Ltd
CARA,PB,0.7,Aberdeen,Cullen Allen Ltd
MARIS PEER,S,0.7,Banff,Melrose Farms
CARA,PB,1.5,Aberdeen,A T Wilson & Co
DESIREE,S,4,Banff,Gray Farms Ltd
CARA,PB,2,Aberdeen,IPM Potato Group Ltd
NIETA,PB,0.02,Aberdeen,Bennett Seed Exports Ltd
DESIREE,S,0.4,Banff,Melrose Farms
CARA,PB,0.3,Aberdeen,Strathmore Potatoes Ltd
KENNEBEC,S,3.5,Banff,Gray Farms Ltd
CARA,PB,0.5,Aberdeen,IPM Potato Group Ltd
KENNEBEC,S,3,Banff,Gray Farms Ltd
CARA,PB,0.4,Aberdeen,A T Wilson & Co
MARIS PIPER,PB,0.02,Aberdeen,A G Norrie & Sons
DUKE OF YORK,PB,0.02,Aberdeen,A G Norrie & Sons
CARA,PB,0.2,Aberdeen,Cullen Allen Ltd
RED DUKE OF YORK,PB,0.02,Aberdeen,A G Norrie & Sons
MARIS PEER,S,1,Banff,Melrose Farms
SHARPE'S EXPRESS,PB,0.02,Aberdeen,A G Norrie & Sons
ARSENAL,PB,0.03,Aberdeen,Agrico UK Ltd
KINGSMAN,S,4.6,Perth,Cygnet Potato Breeders Ltd
KINGSMAN,S,4,Perth,Cygnet Potato Breeders Ltd
RED CARA,PB,1.5,Aberdeen,IPM Potato Group Ltd
PICASSO,PB,0.03,Aberdeen,Agrico UK Ltd
RED CARA,PB,0.15,Aberdeen,IPM Potato Group Ltd
HERMES,PB,0.03,Aberdeen,Saltire Seed Ltd
PIROL,PB,0.04,Aberdeen,Saltire Seed Ltd
SPUNTA,S,2.5,Banff,Gray Farms Ltd
MARIS PEER,S,1.8,Banff,Melrose Farms
DESIREE,SE,3.5,Banff,Gray Farms Ltd
GEMSON,PB,0.04,Aberdeen,Grampian Growers
PENTLAND DELL,PB,0.01,Aberdeen,A G Norrie & Sons
PENTLAND DELL,PB,0.05,Aberdeen,McCain Potatoes
ATLANTIC,S,5.5,Banff,Gray Farms Ltd
FANDANGO,PB,0.02,Aberdeen,IPM Potato Group Ltd
VENEZIA,SE,4.7,Banff,Europlant for Greenvale AP
DESIREE,SE,3,Banff,Gray Farms Ltd
HERMES,S,2.3,Banff,Gray Farms Ltd
LADY ROSETTA,S,9,Banff,Meijer Potato UK
CARUSO,PB,0.019,Ross,Solana Seeds United Kingdom Ltd
FANDANGO,PB,0.1,Aberdeen,IPM Potato Group Ltd
CARUSO,PB,0.024,Ross,Solana Seeds United Kingdom Ltd
LADY ROSETTA,S,4.5,Aberdeen,Meijer Potato UK
LADY BALFOUR,S,0.9,Banff,Greenvale AP
CABARET,PB,0.04,Aberdeen,Cygnet Potato Breeders Ltd
ROYAL,PB,0.08,Aberdeen,McCain Potatoes
AMANDA,PB,0.037,Ross,Solana Seeds United Kingdom Ltd
PENTLAND DELL,S,8,Aberdeen,W A Petrie
ATLANTIC,S,6,Aberdeen,Cygnet PEP Ltd
MARIS PIPER,S,7.4,Angus,Cononsyth Farms Limited
MARIS PIPER,SE,10.8,Angus,Cononsyth Farms Limited
CARA,SE,6,Angus,Cononsyth Farms Limited
